0,1,2,3,counts
www.bloomberg.com,news,articles,2017-06-01,3
www.bloomberg.com,news,articles,2017-09-29,3
www.bloomberg.com,news,articles,2017-09-07,3
www.bloomberg.com,news,articles,2017-07-13,3
www.bloomberg.com,news,articles,2017-08-24,3
www.bloomberg.com,news,articles,2017-08-01,3
www.bloomberg.com,news,articles,2017-09-21,3
www.bloomberg.com,news,articles,2017-08-02,3
www.bloomberg.com,news,articles,2017-10-26,3
www.bloomberg.com,news,articles,2017-11-03,3
www.bloomberg.com,news,articles,2017-10-19,3
www.bloomberg.com,news,articles,2017-10-02,3
www.bloomberg.com,news,articles,2017-07-19,2
www.bloomberg.com,news,articles,2018-11-09,2
www.bloomberg.com,news,articles,2018-09-18,2
www.bloomberg.com,news,articles,2017-07-27,2
www.bloomberg.com,news,articles,2017-07-18,2
www.bloomberg.com,news,articles,2018-11-13,2
www.bloomberg.com,news,articles,2017-07-24,2
www.bloomberg.com,news,articles,2018-09-11,2
www.bloomberg.com,news,articles,2018-08-20,2
www.bloomberg.com,news,articles,2017-06-21,2
www.bloomberg.com,news,articles,2018-08-21,2
www.bloomberg.com,news,articles,2017-07-26,2
www.bloomberg.com,news,articles,2018-08-29,2
www.bloomberg.com,news,articles,2018-08-23,2
www.bloomberg.com,news,articles,2018-10-12,2
www.bloomberg.com,news,articles,2017-05-18,2
www.bloomberg.com,news,articles,2018-09-19,2
www.bloomberg.com,news,articles,2018-10-17,2
www.bloomberg.com,news,articles,2017-06-12,2
www.bloomberg.com,news,articles,2018-10-10,2
www.bloomberg.com,news,articles,2017-06-23,2
www.bloomberg.com,news,articles,2018-10-03,2
www.bloomberg.com,news,articles,2018-08-10,2
www.bloomberg.com,news,articles,2017-06-15,2
www.bloomberg.com,news,articles,2018-10-25,2
www.bloomberg.com,news,articles,2017-06-28,2
www.bloomberg.com,news,articles,2017-06-19,2
www.bloomberg.com,news,articles,2017-06-22,2
www.bloomberg.com,news,articles,2018-10-26,2
www.bloomberg.com,news,articles,2018-09-27,2
www.bloomberg.com,news,articles,2017-07-12,2
www.bloomberg.com,news,articles,2018-09-26,2
www.bloomberg.com,news,articles,2018-09-25,2
www.bloomberg.com,news,articles,2018-10-11,2
www.bloomberg.com,news,articles,2018-11-05,2
www.bloomberg.com,news,articles,2015-02-26,2
www.bloomberg.com,news,articles,2018-08-02,2
www.bloomberg.com,news,articles,2018-07-31,2
www.bloomberg.com,news,articles,2016-09-01,2
www.bloomberg.com,news,articles,2015-10-09,2
www.bloomberg.com,news,articles,2018-02-02,2
www.bloomberg.com,news,articles,2018-02-01,2
www.bloomberg.com,news,articles,2018-01-29,2
www.bloomberg.com,news,articles,2015-12-23,2
www.bloomberg.com,news,articles,2018-01-17,2
www.bloomberg.com,news,articles,2018-01-11,2
www.bloomberg.com,news,articles,2016-05-27,2
www.bloomberg.com,news,articles,2018-01-10,2
www.bloomberg.com,news,articles,2018-01-04,2
www.bloomberg.com,news,articles,2017-10-11,2
www.bloomberg.com,news,articles,2017-10-12,2
www.bloomberg.com,news,articles,2017-10-13,2
www.bloomberg.com,news,articles,2016-05-19,2
www.bloomberg.com,news,articles,2017-12-07,2
www.bloomberg.com,news,articles,2017-11-29,2
www.bloomberg.com,news,articles,2017-11-08,2
www.bloomberg.com,news,articles,2017-11-21,2
www.bloomberg.com,news,articles,2017-09-18,2
www.bloomberg.com,news,articles,2018-02-26,2
www.bloomberg.com,news,articles,2016-03-09,2
www.bloomberg.com,news,articles,2017-08-03,2
www.bloomberg.com,news,articles,2018-07-18,2
www.bloomberg.com,news,articles,2018-07-17,2
www.bloomberg.com,news,articles,2017-08-08,2
www.bloomberg.com,news,articles,2018-11-20,2
www.bloomberg.com,news,articles,2018-06-22,2
www.bloomberg.com,news,articles,2018-06-13,2
www.bloomberg.com,news,articles,2017-08-21,2
www.bloomberg.com,news,articles,2015-01-26,2
www.bloomberg.com,news,articles,2018-06-08,2
www.bloomberg.com,news,articles,2018-06-04,2
www.bloomberg.com,news,articles,2018-02-27,2
www.bloomberg.com,news,articles,2018-05-10,2
www.bloomberg.com,news,articles,2017-08-28,2
www.bloomberg.com,news,articles,2018-05-04,2
www.bloomberg.com,news,articles,2018-04-24,2
www.bloomberg.com,news,articles,2018-04-04,2
www.bloomberg.com,news,articles,2016-09-29,2
www.bloomberg.com,news,articles,2018-03-22,2
www.bloomberg.com,news,articles,2018-03-21,2
www.bloomberg.com,news,articles,2018-03-15,2
www.bloomberg.com,news,articles,2018-03-09,2
www.bloomberg.com,news,articles,2018-03-05,2
www.bloomberg.com,news,articles,2018-11-16,2
www.bloomberg.com,news,articles,2019-03-01,2
www.bloomberg.com,news,articles,2018-12-19,2
www.bloomberg.com,news,articles,2019-01-17,2
www.bloomberg.com,news,articles,2019-01-16,2
www.bloomberg.com,news,articles,2019-01-02,2
www.bloomberg.com,news,articles,2019-01-18,2
www.bloomberg.com,news,articles,2019-02-07,2
www.bloomberg.com,news,articles,2019-02-08,2
www.bloomberg.com,news,articles,2019-02-28,2
www.bloomberg.com,news,articles,2019-03-07,2
www.bloomberg.com,news,articles,2019-02-04,2
www.bloomberg.com,news,articles,2019-01-23,2
www.bloomberg.com,news,articles,2018-12-18,2
www.bloomberg.com,news,articles,2014-10-30,1
www.bloomberg.com,news,articles,joe-biden-lucy-flores,1
www.bloomberg.com,news,articles,wisconsin-abortion-bill-veto,1
www.bloomberg.com,news,articles,teen-migrant-dies-in-us-custody,1
www.bloomberg.com,news,articles,supreme-court-census-citizenship-arguments,1
www.bloomberg.com,news,articles,sarah-huckabee-sanders-mueller-report,1
www.bloomberg.com,news,articles,pete-buttigieg-don-beyer,1
www.bloomberg.com,news,articles,nevada-virtual-campaign-trail-2020,1
www.bloomberg.com,news,articles,mueller-report-uae-crown-prince,1
www.bloomberg.com,news,articles,james-byrd-jr-execution,1
www.bloomberg.com,news,articles,fox-news-pete-buttigieg,1
www.bloomberg.com,news,articles,christopher-hasson-supreme-court-justices,1
www.bloomberg.com,news,articles,cesar-sayoc-pipe-bomb-steroids,1
www.bloomberg.com,news,articles,biden-2020-obama-endorsement,1
www.bloomberg.com,news,articles,andrew-gillum-ethics-fine,1
www.bloomberg.com,news,articles,amal-clooney-un-isis,1
www.bloomberg.com,news,articles,2019-03-06,1
www.bloomberg.com,news,articles,2019-03-05,1
www.bloomberg.com,news,articles,2019-03-04,1
www.bloomberg.com,news,articles,2019-02-27,1
www.bloomberg.com,news,articles,2018-11-29,1
www.bloomberg.com,news,articles,2018-11-23,1
www.bloomberg.com,news,articles,2018-11-22,1
www.bloomberg.com,news,articles,2018-11-21,1
www.bloomberg.com,news,articles,2018-11-07,1
www.bloomberg.com,news,articles,2018-11-06,1
www.bloomberg.com,news,articles,2018-11-01,1
www.bloomberg.com,news,articles,2018-10-24,1
www.bloomberg.com,news,articles,2018-10-19,1
www.bloomberg.com,news,articles,2018-10-18,1
www.bloomberg.com,news,articles,2018-10-08,1
www.bloomberg.com,news,articles,2018-10-04,1
www.bloomberg.com,news,articles,2018-09-20,1
www.bloomberg.com,news,articles,2018-09-17,1
www.bloomberg.com,news,articles,2018-09-13,1
www.bloomberg.com,news,articles,2018-09-12,1
www.bloomberg.com,news,articles,2018-11-27,1
www.bloomberg.com,news,articles,2018-11-30,1
www.bloomberg.com,news,articles,2019-02-26,1
www.bloomberg.com,news,articles,2018-12-02,1
www.bloomberg.com,news,articles,2019-02-23,1
www.bloomberg.com,news,articles,2019-02-20,1
www.bloomberg.com,news,articles,2019-02-15,1
www.bloomberg.com,news,articles,2019-02-12,1
www.bloomberg.com,news,articles,2019-01-30,1
www.bloomberg.com,news,articles,2019-01-14,1
www.bloomberg.com,news,articles,2019-01-10,1
www.bloomberg.com,news,articles,2019-01-08,1
www.bloomberg.com,news,articles,2018-12-14,1
www.bloomberg.com,news,articles,2018-12-12,1
www.bloomberg.com,news,articles,2018-12-11,1
www.bloomberg.com,news,articles,2018-12-10,1
www.bloomberg.com,news,articles,2018-12-07,1
www.bloomberg.com,news,articles,2018-12-05,1
www.bloomberg.com,news,articles,2018-12-04,1
