id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34176402,"Yacht Racing, Outdoorsy or just love a beach walk",102360316,E,,Marina,37.80394,-122.44676,Entire home/apt,750,30,0,,,1,365
34179500,Soma 2bunk bed/Furnished kitchen&laundry included,83318363,Nika & Sergii,,South of Market,37.77203,-122.41042,Shared room,33,30,0,,,20,0
34179551,2BR in SF near Iconic Neighborhoods,48005494,Zeus,,Nob Hill,37.79385,-122.41476,Entire home/apt,161,30,1,2019-09-27,0.12,208,351
34179652,Spacious Noe Valley Flat,1479964,James,,Noe Valley,37.75148,-122.43819,Hotel room,200,30,0,,,23,0
34180111,2-people  shared female room near Union Square,83318363,Nika & Sergii,,Nob Hill,37.79277,-122.42011,Shared room,38,30,1,2019-08-12,0.10,20,0
34180238,2BR Condo In Highly Desirable Nob HIll,48005494,Zeus,,Nob Hill,37.79525,-122.41582,Entire home/apt,163,30,1,2020-03-24,0.39,208,351
34189531,"Dreamy Nob Hill Studio w/ Sauna, Gym, City View by Blueground",107434423,Blueground,,Nob Hill,37.7906,-122.41023,Entire home/apt,146,30,0,,,195,337
34200885,Charming 1BR Upper Terrace Cottage - Great Location,198204284,Red Awning,,Haight Ashbury,37.76578,-122.44326,Entire home/apt,477,1,2,2019-12-12,0.15,1,0
34205792,The little room,256760039,Ali,,South of Market,37.77595,-122.41252,Private room,44,30,2,2019-10-04,0.21,2,154
34206236,Bright Mission Studio w/ Character & Charm,4430421,Landmark,,Mission,37.76569,-122.41707,Entire home/apt,89,30,0,,,110,179
34208181,"San Francisco Home, Great View, Private Room #1",45822891,Robert,,Bayview,37.7334,-122.38692,Private room,64,1,58,2020-03-14,4.32,5,330
34209228,2BR Condo in a Central Location Near Everything,48005494,Zeus,,Downtown/Civic Center,37.77513,-122.42028,Entire home/apt,248,30,2,2019-09-19,0.20,208,284
34209303,2BR Condo in a Great Part of the City,48005494,Zeus,,Downtown/Civic Center,37.77569,-122.41961,Entire home/apt,158,30,1,2020-04-04,0.45,208,305
34227689,Modern and Contemporary condo with great location!,238551996,Justin,,Western Addition,37.78712,-122.44022,Entire home/apt,145,2,2,2020-02-29,0.31,1,0
34228117,Charming  hillside 2-level  suite in San Francisco,108086582,Boris,,West of Twin Peaks,37.73726,-122.45791,Entire home/apt,200,3,34,2020-03-16,2.64,1,120
34234091,"Cozy, bright and quiet hidden gem",31604351,Robbie,,North Beach,37.80399,-122.40882,Entire home/apt,275,3,7,2019-12-31,0.55,1,0
34246050,Spacious and Charming Family Friendly NOPA Flat,202999813,Zuhra & Sean,,Inner Richmond,37.77571,-122.44753,Entire home/apt,450,3,7,2019-07-31,0.59,1,0
34247471,Renovated Mission Terrace Unit With Deck and Garden,5391821,Dan,,Outer Mission,37.72709,-122.44108,Entire home/apt,125,3,41,2020-03-10,3.04,1,206
34253243,Huge 3 Bedroom Condo in the Heart of Noe Valley,10441135,Kevin,,Noe Valley,37.75062,-122.42645,Entire home/apt,520,3,9,2020-02-28,0.89,1,0
34283628,Top floor Penthouse w/ parking & view of downtown.,4715188,Vivek,,South of Market,37.77728,-122.39393,Entire home/apt,180,30,0,,,1,0
34287368,Bright 2 bedroom condo in the Richmond district,841221,Lara,,Inner Richmond,37.78613,-122.47318,Entire home/apt,156,30,0,,,1,0
34287664,Private Bed/Bath With a View off of Valencia St.,796838,Steffen,,Mission,37.76743,-122.42247,Private room,232,1,3,2020-01-12,0.34,1,0
34287875,"Clean, quiet, king bed, views, in a modern house",9194713,Lance,,Visitacion Valley,37.71886,-122.40465,Private room,68,1,40,2020-03-28,2.99,5,0
34289989,"Beautiful, comfortable house, quiet neighborhood",258893252,Ana,,Visitacion Valley,37.71738,-122.40363,Entire home/apt,220,30,1,2019-09-20,0.11,1,180
34308960,Historic Hotel near the San Francisco City Hall,164971898,Tom,,Downtown/Civic Center,37.77829,-122.42046,Private room,125,30,0,,,1,0
34314752,sunny apartment with private garden and deck,694309,Harry,,Chinatown,37.79158,-122.40896,Entire home/apt,110,30,1,2019-11-30,0.16,3,185
