,name,content,timestamp
273,XaiinZ#9700,<:kaisauwu:772819339803492382>,2020-11-15T05:17:31.315000+00:00
274,XaiinZ#9700,!rank,2020-11-15T05:17:37.570000+00:00
275,Ezreal#0001,<a:owoBonk:615242366491820071>,2020-11-15T05:20:08.927000+00:00
276,XaiinZ#9700,Ezreal,2020-11-15T06:03:18.985000+00:00
277,Ezreal#0001,<a:peepoFatBonk:758737544040022026>,2020-11-15T02:58:01.512000+00:00
278,Ezreal#0001,!rank,2020-11-15T02:58:03.345000+00:00
279,Ezreal#0001,👑,2020-11-15T02:58:06.656000+00:00
280,FNC N.oir#6229,<:mewlove:772790207753093120>,2020-11-15T02:58:10.265000+00:00
281,FNC N.oir#6229,Ok UwU,2020-11-15T02:18:48.828000+00:00
282,FNC N.oir#6229,!rank,2020-11-15T02:55:02.613000+00:00
283,FNC N.oir#6229,<@501876356515233814> i'm sorry,2020-11-15T02:57:33.016000+00:00
284,Ezreal#0001,<a:peepoFatBonk:758737544040022026>,2020-11-15T02:58:01.512000+00:00
285,XaiinZ#9700,<:mewsip:772800059351498784>,2020-11-14T04:57:23.560000+00:00
286,XaiinZ#9700,<:KEKW:665243077639929856> <:KEKW:665243077639929856>,2020-11-14T04:57:32.911000+00:00
287,Ezreal#0001,mememe,2020-11-14T04:57:45.278000+00:00
288,Ezreal#0001,one sec lemme kick someone,2020-11-14T04:57:51.427000+00:00
289,XaiinZ#9700,mashallah words can’t describe you homie,2020-11-14T04:57:19.419000+00:00
290,Ezreal#0001,i said it 4 times,2020-11-14T04:57:20.924000+00:00
291,Ezreal#0001,must be true,2020-11-14T04:57:23.522000+00:00
292,XaiinZ#9700,<:mewsip:772800059351498784>,2020-11-14T04:57:23.560000+00:00
293,XaiinZ#9700,<:KEKW:665243077639929856> <:KEKW:665243077639929856>,2020-11-14T04:57:32.911000+00:00
294,FNC N.oir#6229,:rank,2020-11-14T00:17:29.804000+00:00
295,FNC N.oir#6229,!rank,2020-11-14T00:17:33.095000+00:00
296,Katherina#5064,<@688375134666752106> JEALOUS,2020-11-14T00:18:17.555000+00:00
297,FNC N.oir#6229,no,2020-11-14T00:18:56.247000+00:00
298,Luxcha✨🌸#0831,İmagine playing cs,2020-11-13T13:33:00.801000+00:00
299,Luxcha✨🌸#0831,!rank,2020-11-13T13:33:05.836000+00:00
300,Brainf**k!#9160,"> you seem obsessed
<@!722966127478833194> 😏😏😏😏",2020-11-13T13:33:29.183000+00:00
301,Brainf**k!#9160,DAMN,2020-11-13T13:33:59.846000+00:00
302,Brainf**k!#9160,smh,2020-11-13T13:27:09.718000+00:00
303,Brainf**k!#9160,!rank,2020-11-13T13:27:11.641000+00:00
304,Brainf**k!#9160,cock,2020-11-13T13:27:20.420000+00:00
305,🌸Koichi✨#9668,you seem obsessed,2020-11-13T13:32:57.129000+00:00
306,Brainf**k!#9160,BIG COCK,2020-11-13T07:44:23.787000+00:00
307,AKI ☠#2635,!rank,2020-11-13T07:44:25.764000+00:00
308,AKI ☠#2635,i joined today,2020-11-13T07:44:32.344000+00:00
309,Brainf**k!#9160,smoll pp,2020-11-13T07:44:35.787000+00:00
310,MEE6#4876,"Well done <@!697000982135046184>,  you went up a level 2!",2020-11-13T07:43:35.563000+00:00
311,Brainf**k!#9160,!rank,2020-11-13T07:44:13.749000+00:00
312,Brainf**k!#9160,BIG COCK,2020-11-13T07:44:23.787000+00:00
313,AKI ☠#2635,!rank,2020-11-13T07:44:25.764000+00:00
314,Ezreal#0001,<@!514110272902922251> <a:CatBonk:753093287992361052>,2020-11-12T20:37:41.894000+00:00
315,Foreskin Bandit#3872,!rank,2020-11-12T20:37:48.807000+00:00
316,Lithux#9725,<:catcri:758808345695748106>,2020-11-12T20:37:52.532000+00:00
317,Ezreal#0001,<:pogthat:747577655825661992>,2020-11-12T20:37:54.143000+00:00
318,Lithux#9725,!rank,2020-11-12T20:37:31.196000+00:00
319,Ness_1❄#1818,^_^,2020-11-12T20:37:32.148000+00:00
320,Foreskin Bandit#3872,Yes,2020-11-12T20:37:32.863000+00:00
321,Lithux#9725,system is rigged,2020-11-12T20:37:40.888000+00:00
